,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
444,Low,297.4,308.4,1582.0,37.2,68.0,No Failure
445,Low,297.5,308.6,1793.0,26.7,70.0,No Failure
446,Low,297.5,308.6,1452.0,39.0,72.0,No Failure
447,Medium,297.6,308.7,1376.0,59.9,74.0,No Failure
448,Low,297.5,308.6,1552.0,44.9,77.0,No Failure
449,Low,297.6,308.7,1622.0,37.9,79.0,No Failure
450,Medium,297.6,308.7,1419.0,41.7,81.0,No Failure
451,High,297.5,308.6,1440.0,46.1,84.0,No Failure
452,Medium,297.4,308.6,1643.0,31.0,89.0,No Failure
453,Low,297.4,308.7,1510.0,36.2,92.0,No Failure
454,Low,297.4,308.7,1468.0,46.6,94.0,No Failure
455,Low,297.4,308.7,1429.0,57.4,96.0,No Failure
456,High,297.3,308.7,1478.0,47.6,98.0,No Failure
457,Low,297.4,308.6,1276.0,53.6,103.0,No Failure
458,Low,297.3,308.6,1486.0,42.6,105.0,No Failure
459,Low,297.4,308.6,1476.0,42.3,107.0,No Failure
460,High,297.3,308.6,1431.0,42.0,109.0,No Failure
461,Low,297.4,308.7,1402.0,40.2,114.0,No Failure
462,Low,297.4,308.7,1433.0,43.4,116.0,No Failure
463,Low,297.4,308.7,1895.5,12.800000000000011,118.0,Power Failure
464,Low,297.3,308.6,1511.0,35.7,120.0,No Failure
465,Medium,297.3,308.6,1456.0,42.9,122.0,No Failure
466,Low,297.2,308.5,1550.0,41.5,125.0,No Failure
467,Low,297.2,308.5,1895.5,16.5,127.0,No Failure
468,Low,297.3,308.7,1619.0,31.6,129.0,No Failure
469,Medium,297.3,308.8,1586.0,32.7,131.0,No Failure
470,High,297.3,308.8,1499.0,44.2,134.0,No Failure
471,High,297.3,308.8,1419.0,42.4,139.0,No Failure
472,Medium,297.4,309.0,1497.0,41.8,144.0,No Failure
473,Medium,297.4,309.0,1520.0,37.0,147.0,No Failure
474,Low,297.4,309.1,1478.0,49.8,150.0,No Failure
475,Low,297.4,309.1,1380.0,41.1,152.0,No Failure
476,Low,297.4,309.0,1570.0,37.9,154.0,No Failure
477,High,297.4,309.0,1468.0,41.4,156.0,No Failure
478,Low,297.4,309.0,1833.0,22.6,161.0,No Failure
479,Medium,297.4,308.9,1323.0,57.3,163.0,No Failure
480,Low,297.4,309.0,1583.0,32.0,166.0,No Failure
481,Medium,297.3,309.0,1556.0,39.5,168.0,No Failure
482,Low,297.3,309.0,1548.0,37.4,171.0,No Failure
483,Low,297.4,309.0,1324.0,56.9,173.0,No Failure
484,Low,297.4,309.0,1568.0,33.7,175.0,No Failure
485,Medium,297.4,309.0,1685.0,30.7,177.0,No Failure
486,Medium,297.4,309.1,1582.0,35.9,180.0,No Failure
487,Medium,297.4,309.1,1463.0,35.0,183.0,No Failure
488,Low,297.4,309.2,1584.0,42.8,186.0,No Failure
489,Medium,297.5,309.2,1347.0,55.8,188.0,No Failure
490,Low,297.4,309.2,1459.0,37.9,191.0,No Failure
491,Low,297.4,309.2,1420.0,45.6,193.0,No Failure
492,Low,297.5,309.3,1404.0,43.5,195.0,No Failure
493,Low,297.5,309.3,1470.0,38.8,197.0,No Failure
494,Low,297.6,309.4,1326.0,49.8,199.0,No Failure
495,High,297.5,309.3,1459.0,49.7,201.0,No Failure
496,Medium,297.5,309.2,1530.0,40.0,206.0,No Failure
497,Low,297.4,309.0,1505.0,39.2,209.0,No Failure
498,Low,297.5,309.1,1611.0,30.2,211.0,No Failure
499,Low,297.5,309.1,1515.0,35.1,213.0,No Failure
500,Medium,297.5,309.2,1804.0,27.4,215.0,No Failure
501,Medium,297.6,309.3,1464.0,46.2,218.0,No Failure
502,Low,297.6,309.2,1390.0,43.3,221.0,No Failure
503,Medium,297.6,309.2,1442.0,48.1,0.0,No Failure
504,Medium,297.6,309.3,1529.0,41.9,3.0,No Failure
505,Low,297.6,309.3,1610.0,35.0,6.0,No Failure
506,Low,297.6,309.3,1543.0,34.3,8.0,No Failure
507,High,297.8,309.4,1445.0,48.2,10.0,No Failure
508,Low,297.7,309.3,1893.0,24.6,15.0,No Failure
509,Medium,297.6,309.3,1415.0,41.3,17.0,No Failure
510,Low,297.5,309.3,1564.0,37.5,20.0,No Failure
511,Low,297.5,309.3,1479.0,39.4,22.0,No Failure
512,Low,297.5,309.2,1426.0,44.8,24.0,No Failure
513,Low,297.4,309.2,1428.0,38.8,26.0,No Failure
514,Low,297.4,309.2,1620.0,33.2,28.0,No Failure
515,Low,297.5,309.2,1715.0,28.0,30.0,No Failure
516,Low,297.5,309.3,1732.0,29.9,32.0,No Failure
517,Medium,297.5,309.4,1391.0,58.2,34.0,No Failure
518,Low,297.6,309.5,1895.5,20.6,37.0,No Failure
519,Medium,297.7,309.5,1895.5,19.8,39.0,No Failure
520,Low,297.6,309.5,1617.0,36.2,42.0,No Failure
521,Low,297.5,309.4,1497.0,35.8,44.0,No Failure
522,Medium,297.5,309.5,1448.0,43.7,46.0,No Failure
523,Low,297.4,309.4,1401.0,45.9,49.0,No Failure
524,Low,297.4,309.4,1620.0,35.4,51.0,No Failure
525,Low,297.4,309.4,1466.0,45.5,53.0,No Failure
526,Low,297.6,309.5,1373.0,50.6,55.0,No Failure
527,Medium,297.6,309.6,1592.0,35.8,57.0,No Failure
528,Medium,297.5,309.5,1553.0,42.4,60.0,No Failure
529,Low,297.6,309.5,1569.0,36.2,63.0,No Failure
530,Medium,297.6,309.5,1709.0,32.2,65.0,No Failure
531,Low,297.6,309.5,1549.0,34.9,68.0,No Failure
532,Low,297.5,309.4,1443.0,45.4,70.0,No Failure
533,Low,297.5,309.3,1675.0,29.8,72.0,No Failure
534,Low,297.5,309.3,1623.0,33.4,74.0,No Failure
535,High,297.4,309.3,1365.0,52.4,76.0,No Failure
536,Low,297.4,309.3,1759.0,24.8,81.0,No Failure
537,High,297.4,309.3,1516.0,43.0,83.0,No Failure
538,Medium,297.4,309.3,1499.0,36.8,88.0,No Failure
539,Medium,297.4,309.3,1775.0,25.8,91.0,No Failure
540,Low,297.4,309.4,1473.0,45.5,94.0,No Failure
541,Low,297.4,309.4,1296.0,52.3,96.0,No Failure
542,Low,297.5,309.4,1803.0,24.7,98.0,No Failure
543,High,297.5,309.3,1563.0,36.1,100.0,No Failure
544,Medium,297.5,309.4,1831.0,26.6,105.0,No Failure
545,Low,297.6,309.4,1895.5,22.1,108.0,No Failure
546,Low,297.5,309.4,1809.0,24.3,110.0,No Failure
547,Medium,297.5,309.4,1482.0,39.3,112.0,No Failure
548,Low,297.4,309.3,1332.0,53.2,115.0,No Failure
549,Low,297.4,309.2,1437.0,40.4,117.0,No Failure
550,Low,297.4,309.2,1698.0,29.4,119.0,No Failure
551,Low,297.4,309.2,1274.0,54.3,121.0,No Failure
552,Medium,297.4,309.3,1622.0,35.0,123.0,No Failure
553,Medium,297.4,309.3,1564.0,36.0,126.0,No Failure
554,High,297.5,309.4,1368.0,45.3,129.0,No Failure
555,Medium,297.4,309.4,1539.0,42.2,134.0,No Failure
556,Low,297.5,309.4,1357.0,50.1,137.0,No Failure
557,Medium,297.5,309.4,1433.0,48.3,139.0,No Failure
558,Low,297.5,309.4,1650.0,34.6,142.0,No Failure
559,Low,297.5,309.4,1503.0,40.6,144.0,No Failure
560,Low,297.5,309.4,1318.0,58.2,146.0,No Failure
561,Medium,297.5,309.4,1678.0,34.4,148.0,No Failure
562,Low,297.6,309.5,1574.0,30.9,151.0,No Failure
563,Low,297.7,309.6,1529.0,35.2,153.0,No Failure
564,High,297.6,309.6,1669.0,32.1,155.0,No Failure
565,High,297.7,309.7,1570.0,35.8,160.0,No Failure
566,Medium,297.6,309.7,1541.0,33.7,165.0,No Failure
567,Medium,297.7,309.7,1680.0,30.2,168.0,No Failure
568,Low,297.8,309.7,1895.5,22.1,171.0,No Failure
569,Medium,297.7,309.6,1596.0,35.2,173.0,No Failure
570,Low,297.7,309.7,1498.0,41.0,176.0,No Failure
571,Medium,297.8,309.8,1676.0,29.0,178.0,No Failure
572,Low,297.8,309.9,1351.0,49.0,181.0,No Failure
573,Low,297.9,309.9,1472.0,45.0,183.0,No Failure
574,Medium,297.9,310.0,1439.0,41.7,185.0,No Failure
575,Medium,297.9,309.9,1410.0,55.4,188.0,No Failure
576,High,297.7,309.7,1440.0,51.1,191.0,No Failure
577,Low,297.7,309.7,1591.0,37.7,196.0,No Failure
578,Low,297.8,309.8,1533.0,36.8,198.0,No Failure
579,Medium,297.8,309.7,1700.0,31.3,200.0,No Failure
580,Medium,297.8,309.8,1798.0,25.5,203.0,No Failure
581,Low,297.8,309.7,1394.0,42.9,206.0,No Failure
582,Low,297.8,309.7,1341.0,49.2,208.0,No Failure
583,High,297.7,309.6,1697.0,32.2,210.0,No Failure
584,High,297.6,309.6,1419.0,48.2,215.0,No Failure
585,Low,297.6,309.5,1895.5,20.5,220.0,No Failure
586,Low,297.6,309.6,1501.0,49.8,222.0,Overstrain Failure
587,High,297.6,309.5,1623.0,33.1,224.0,No Failure
588,Low,297.6,309.4,1628.0,33.4,229.0,No Failure
589,Low,297.6,309.4,1491.0,40.2,231.0,No Failure
590,Low,297.5,309.4,1517.0,36.7,233.0,No Failure
591,High,297.5,309.3,1525.0,41.7,235.0,No Failure
592,High,297.5,309.5,1668.0,27.9,240.0,No Failure
593,Low,297.5,309.6,1312.0,50.7,0.0,No Failure
594,High,297.6,309.6,1278.0,50.4,2.0,No Failure
595,Medium,297.6,309.6,1330.0,53.1,7.0,No Failure
596,Medium,297.6,309.6,1530.0,37.3,10.0,No Failure
597,High,297.6,309.6,1428.0,46.6,13.0,No Failure
598,Low,297.7,309.6,1480.0,47.9,18.0,No Failure
599,High,297.7,309.7,1616.0,31.1,20.0,No Failure
600,Low,297.8,309.7,1547.0,37.3,25.0,No Failure
601,Low,297.9,309.7,1895.5,16.8,27.0,No Failure
602,Low,297.9,309.8,1895.5,21.3,29.0,No Failure
603,Low,297.9,309.8,1336.0,67.19999999999999,31.0,Power Failure
604,Low,297.9,309.9,1542.0,33.8,33.0,No Failure
605,Medium,297.9,309.8,1693.0,29.9,35.0,No Failure
606,Low,297.9,309.8,1461.0,50.5,38.0,No Failure
607,Medium,298.0,309.9,1565.0,33.9,40.0,No Failure
608,Low,298.0,309.9,1403.0,47.7,43.0,No Failure
609,Low,298.1,309.9,1629.0,32.5,45.0,No Failure
610,Low,298.1,310.0,1534.0,33.7,47.0,No Failure
611,Low,298.1,310.0,1553.0,40.9,49.0,No Failure
612,Low,298.1,309.9,1563.0,32.8,51.0,No Failure
613,Low,298.1,309.9,1634.0,30.0,53.0,No Failure
614,Medium,298.0,309.9,1445.0,45.2,55.0,No Failure
615,Low,298.1,309.9,1642.0,30.4,58.0,No Failure
616,High,298.1,309.9,1686.0,29.1,60.0,No Failure
617,Medium,298.1,310.0,1393.0,43.1,65.0,No Failure
618,High,298.2,310.0,1433.0,44.2,68.0,No Failure
619,Low,298.3,310.0,1507.0,44.7,73.0,No Failure
620,Medium,298.3,310.1,1389.0,49.6,75.0,No Failure
621,Low,298.3,310.1,1408.0,45.3,78.0,No Failure
622,Medium,298.4,310.2,1725.0,32.0,80.0,No Failure
623,Low,298.4,310.1,1895.5,23.7,83.0,No Failure
624,High,298.3,310.1,1509.0,37.6,85.0,No Failure
625,Low,298.3,310.1,1545.0,36.3,90.0,No Failure
626,Low,298.4,310.1,1533.0,35.2,92.0,No Failure
627,Low,298.4,310.1,1455.0,42.2,94.0,No Failure
628,Medium,298.4,310.1,1335.0,57.8,96.0,No Failure
629,Low,298.3,310.1,1523.0,45.9,99.0,No Failure
630,Low,298.3,310.0,1460.0,47.6,101.0,No Failure
631,Low,298.4,310.0,1554.0,37.3,103.0,No Failure
632,High,298.3,310.0,1419.0,47.1,105.0,No Failure
633,Low,298.3,310.0,1442.0,43.9,110.0,No Failure
634,Low,298.3,309.9,1507.0,41.6,112.0,No Failure
635,Low,298.3,310.0,1858.0,23.9,114.0,No Failure
636,Low,298.3,309.9,1463.0,43.9,116.0,No Failure
637,Low,298.2,309.7,1585.0,37.4,118.0,No Failure
638,Low,298.0,309.6,1536.0,37.3,120.0,No Failure
639,Low,298.0,309.6,1403.0,51.3,122.0,No Failure
640,Medium,297.9,309.6,1515.0,38.8,124.0,No Failure
641,Low,297.9,309.5,1390.0,47.9,127.0,No Failure
642,Medium,297.8,309.4,1226.0,58.7,129.0,No Failure
643,Medium,297.8,309.4,1495.0,36.5,132.0,No Failure
644,High,297.7,309.4,1608.0,30.2,135.0,No Failure
645,Low,297.7,309.4,1392.0,44.1,140.0,No Failure
646,Medium,297.7,309.4,1461.0,43.7,142.0,No Failure
647,Low,297.7,309.3,1559.0,36.9,145.0,No Failure
648,High,297.7,309.3,1400.0,48.9,147.0,No Failure
649,Medium,297.7,309.2,1732.0,28.8,152.0,No Failure
650,Low,297.6,309.2,1611.0,33.1,155.0,No Failure
651,Low,297.6,309.1,1503.0,38.9,157.0,No Failure
652,Low,297.7,309.2,1391.0,44.5,159.0,No Failure
653,Low,297.8,309.3,1895.5,20.1,161.0,No Failure
654,Low,297.8,309.2,1683.0,30.9,163.0,No Failure
655,Low,297.7,309.1,1435.0,38.8,165.0,No Failure
656,Medium,297.7,309.1,1732.0,28.1,167.0,No Failure
657,Low,297.7,309.2,1365.0,58.6,170.0,No Failure
658,Low,297.7,309.1,1562.0,36.8,172.0,No Failure
659,Low,297.6,309.1,1449.0,49.1,174.0,No Failure
660,Medium,297.7,309.2,1700.0,27.4,176.0,No Failure
661,Medium,297.6,309.0,1427.0,45.6,179.0,No Failure
662,Medium,297.6,308.9,1479.0,38.1,182.0,No Failure
663,Low,297.5,308.9,1469.0,44.0,185.0,No Failure
664,Low,297.5,308.9,1390.0,47.4,187.0,No Failure
665,Low,297.5,308.9,1729.0,28.1,189.0,No Failure
666,Low,297.5,309.0,1470.0,43.5,191.0,No Failure
667,Low,297.5,308.9,1459.0,48.5,193.0,No Failure
668,Low,297.5,308.9,1738.0,24.0,195.0,No Failure
669,High,297.5,308.9,1471.0,37.7,197.0,No Failure
670,Low,297.6,309.0,1822.0,25.4,202.0,No Failure
671,Low,297.5,308.9,1554.0,34.8,204.0,No Failure
672,Medium,297.6,308.9,1433.0,43.2,206.0,No Failure
673,Low,297.6,308.9,1449.0,47.7,209.0,No Failure
674,Low,297.8,309.0,1456.0,41.2,0.0,No Failure
675,Medium,297.8,309.1,1424.0,45.5,2.0,No Failure
676,High,297.9,309.2,1577.0,34.7,5.0,No Failure
677,Low,297.9,309.2,1478.0,39.7,10.0,No Failure
678,Medium,297.8,309.2,1295.0,61.2,12.0,No Failure
679,Low,297.8,309.2,1372.0,47.3,15.0,No Failure
680,Medium,297.8,309.1,1432.0,42.6,17.0,No Failure
681,Medium,297.7,309.0,1656.0,33.2,20.0,No Failure
682,High,297.8,309.0,1410.0,48.8,23.0,No Failure
683,Low,297.7,309.0,1874.0,24.4,28.0,No Failure
684,Low,297.7,309.0,1538.0,43.2,30.0,No Failure
685,Medium,297.7,309.0,1636.0,29.7,32.0,No Failure
686,Medium,297.7,309.0,1504.0,40.4,35.0,No Failure
687,Medium,297.7,309.0,1531.0,42.4,38.0,No Failure
688,High,297.6,309.0,1735.0,26.4,41.0,No Failure
689,High,297.6,309.0,1354.0,55.6,46.0,No Failure
690,High,297.6,309.0,1413.0,40.2,51.0,No Failure
691,Low,297.7,309.1,1563.0,39.3,56.0,No Failure
692,Low,297.7,309.1,1479.0,42.1,58.0,No Failure
693,Low,297.7,309.1,1477.0,38.3,60.0,No Failure
694,Low,297.6,309.1,1394.0,50.0,62.0,No Failure
695,Low,297.6,309.0,1487.0,45.4,64.0,No Failure
696,Medium,297.6,309.0,1815.0,25.3,66.0,No Failure
697,Medium,297.6,308.8,1453.0,39.7,69.0,No Failure
698,Low,297.6,308.8,1539.0,40.2,72.0,No Failure
699,High,297.5,308.7,1416.0,39.2,74.0,No Failure
700,Medium,297.6,308.8,1683.0,31.6,79.0,No Failure
701,Low,297.7,308.8,1515.0,40.1,82.0,No Failure
702,Medium,297.7,308.9,1531.0,48.3,84.0,No Failure
703,High,297.7,308.9,1479.0,40.9,87.0,No Failure
704,Low,297.7,308.9,1516.0,33.7,92.0,No Failure
705,Low,297.7,309.0,1507.0,38.2,94.0,No Failure
706,Medium,297.8,309.0,1434.0,43.3,96.0,No Failure
707,Low,297.7,308.9,1838.0,27.3,99.0,No Failure
708,Medium,297.6,308.8,1416.0,45.9,101.0,No Failure
709,Medium,297.6,308.8,1357.0,49.7,104.0,No Failure
710,Medium,297.5,308.7,1697.0,28.1,107.0,No Failure
711,Low,297.5,308.7,1443.0,46.2,110.0,No Failure
712,Low,297.5,308.7,1453.0,37.6,112.0,No Failure
713,Low,297.4,308.6,1439.0,46.4,114.0,No Failure
714,Low,297.4,308.6,1609.0,36.2,116.0,No Failure
715,Low,297.4,308.6,1324.0,59.1,118.0,No Failure
716,High,297.4,308.6,1420.0,45.8,120.0,No Failure
717,Low,297.4,308.7,1545.0,36.9,125.0,No Failure
718,Low,297.5,308.8,1477.0,39.0,127.0,No Failure
719,Low,297.4,308.8,1447.0,58.1,129.0,No Failure
720,Low,297.4,308.9,1809.0,23.8,131.0,No Failure
721,Low,297.5,308.9,1696.0,30.9,133.0,No Failure
722,Low,297.5,308.9,1427.0,44.7,135.0,No Failure
723,Medium,297.4,308.9,1500.0,46.3,137.0,No Failure
724,Low,297.5,308.9,1390.0,44.6,140.0,No Failure
725,Low,297.4,308.8,1640.0,34.2,142.0,No Failure
726,Medium,297.4,308.8,1628.0,37.4,144.0,No Failure
727,High,297.3,308.6,1499.0,37.6,147.0,No Failure
728,Medium,297.4,308.7,1425.0,50.3,152.0,No Failure
729,Low,297.3,308.6,1586.0,37.7,155.0,No Failure
730,Medium,297.3,308.6,1471.0,50.7,157.0,No Failure
731,Medium,297.3,308.6,1431.0,53.0,160.0,No Failure
732,Low,297.2,308.6,1895.5,22.1,163.0,No Failure
733,Medium,297.1,308.4,1421.0,42.0,165.0,No Failure
734,High,297.0,308.4,1305.0,54.6,168.0,No Failure
735,Low,296.9,308.4,1557.0,32.4,173.0,No Failure
736,Low,296.9,308.3,1555.0,38.2,175.0,No Failure
737,High,296.9,308.3,1474.0,39.2,177.0,No Failure
738,Low,296.8,308.3,1506.0,45.9,182.0,No Failure
739,Low,296.9,308.4,1390.0,41.8,184.0,No Failure
740,Medium,296.9,308.4,1450.0,46.9,186.0,No Failure
741,Low,296.9,308.3,1513.0,38.8,189.0,No Failure
742,Low,296.8,308.2,1643.0,34.7,191.0,No Failure
743,Low,296.8,308.2,1361.0,53.8,193.0,No Failure
744,Low,296.7,308.1,1450.0,40.9,195.0,No Failure
745,Low,296.7,308.0,1451.0,50.7,197.0,No Failure
746,Low,296.8,308.1,1289.0,62.0,199.0,Overstrain Failure
747,Low,296.8,308.1,1356.0,48.3,201.0,No Failure
748,High,296.7,308.1,1528.0,46.3,203.0,No Failure
749,Low,296.6,308.0,1895.5,22.3,208.0,No Failure
750,Low,296.7,308.0,1535.0,36.8,210.0,No Failure
751,Medium,296.8,308.1,1843.0,24.2,212.0,No Failure
752,Low,296.9,308.1,1422.0,48.7,215.0,No Failure
753,Low,296.8,308.0,1536.0,40.4,217.0,No Failure
754,Medium,296.9,308.1,1483.0,44.3,219.0,No Failure
755,High,296.8,308.1,1492.0,43.7,222.0,No Failure
756,Low,296.8,308.0,1584.0,40.4,227.0,No Failure
757,Low,296.9,308.1,1555.0,33.7,229.0,No Failure
758,Low,296.8,308.0,1497.0,41.7,231.0,No Failure
759,Medium,296.7,307.8,1537.0,36.3,233.0,No Failure
760,Low,296.7,307.8,1505.0,39.4,236.0,No Failure
761,Low,296.7,307.8,1646.0,34.6,238.0,No Failure
762,Medium,296.7,307.8,1286.0,60.5,0.0,No Failure
763,Low,296.7,307.8,1400.0,47.5,3.0,No Failure
764,Low,296.8,307.9,1337.0,56.5,5.0,No Failure
765,Low,296.9,308.0,1332.0,53.9,7.0,No Failure
766,Low,296.8,308.0,1561.0,38.3,9.0,No Failure
767,Low,296.9,308.0,1546.0,31.1,11.0,No Failure
768,Low,296.9,308.0,1713.0,29.3,13.0,No Failure
769,Low,296.9,308.0,1343.0,44.5,15.0,No Failure
770,Low,296.8,308.0,1391.0,54.4,17.0,No Failure
771,High,296.8,308.0,1311.0,58.6,19.0,No Failure
772,High,296.8,308.0,1453.0,51.0,24.0,No Failure
773,Low,296.8,308.0,1510.0,39.4,29.0,No Failure
774,Low,296.8,307.9,1448.0,48.8,31.0,No Failure
775,Low,296.7,307.8,1453.0,46.0,33.0,No Failure
776,Low,296.7,307.8,1468.0,39.2,35.0,No Failure
777,Low,296.7,307.8,1382.0,47.5,37.0,No Failure
778,Low,296.7,308.0,1580.0,32.2,39.0,No Failure
779,Low,296.8,308.0,1666.0,29.8,41.0,No Failure
780,Medium,296.9,308.0,1409.0,50.7,43.0,No Failure
781,Low,296.8,308.0,1675.0,29.7,46.0,No Failure
782,Low,296.8,307.9,1698.0,30.8,48.0,No Failure
783,High,296.7,307.9,1579.0,33.4,50.0,No Failure
784,Low,296.7,307.9,1743.0,27.9,55.0,No Failure
785,Medium,296.9,308.0,1497.0,44.8,57.0,No Failure
786,Low,296.9,308.1,1741.0,28.8,60.0,No Failure
787,Low,296.9,308.1,1435.0,45.3,62.0,No Failure
788,Medium,296.9,308.1,1440.0,46.3,64.0,No Failure
789,Medium,296.9,308.0,1641.0,33.3,67.0,No Failure
790,Low,296.8,307.9,1420.0,45.4,70.0,No Failure
791,Low,296.8,307.9,1611.0,35.4,72.0,No Failure
792,Low,296.8,307.8,1373.0,42.9,74.0,No Failure
793,Medium,296.8,307.9,1683.0,31.8,76.0,No Failure
794,High,296.9,307.9,1547.0,32.6,79.0,No Failure
795,Low,296.9,307.8,1605.0,37.0,84.0,No Failure
796,Medium,296.9,307.9,1895.5,18.9,86.0,No Failure
797,Low,296.8,307.7,1565.0,40.1,89.0,No Failure
798,Medium,296.9,307.8,1828.0,24.6,91.0,No Failure
799,Medium,297.0,307.8,1579.0,34.1,94.0,No Failure
800,Medium,297.0,307.9,1882.0,24.2,97.0,No Failure
801,Low,296.9,307.8,1285.0,52.1,100.0,No Failure
802,Low,296.9,307.8,1571.0,35.0,102.0,No Failure
803,High,296.9,307.8,1549.0,37.8,104.0,No Failure
804,Medium,296.9,307.8,1544.0,37.6,109.0,No Failure
805,Medium,297.0,307.9,1412.0,47.4,112.0,No Failure
806,Medium,297.0,307.9,1422.0,53.0,115.0,No Failure
807,Low,297.0,307.7,1867.0,22.8,118.0,No Failure
808,Low,296.9,307.7,1424.0,43.3,120.0,No Failure
809,Low,296.9,307.6,1452.0,45.7,122.0,No Failure
810,Low,296.9,307.7,1550.0,39.7,124.0,No Failure
811,Low,296.8,307.6,1588.0,37.6,126.0,No Failure
812,Low,296.8,307.6,1338.0,44.4,128.0,No Failure
813,Low,296.8,307.6,1513.0,40.0,130.0,No Failure
814,Medium,296.8,307.5,1470.0,45.9,132.0,No Failure
815,Medium,296.8,307.5,1516.0,36.7,135.0,No Failure
816,Low,296.8,307.6,1434.0,48.3,138.0,No Failure
817,Low,296.8,307.6,1368.0,52.0,140.0,No Failure
818,Low,296.8,307.6,1304.0,48.7,142.0,No Failure
819,Low,296.8,307.6,1398.0,46.7,144.0,No Failure
820,Low,296.7,307.6,1516.0,37.4,146.0,No Failure
821,Low,296.7,307.6,1474.0,41.7,148.0,No Failure
822,Medium,296.7,307.6,1547.0,34.7,150.0,No Failure
823,Medium,296.6,307.5,1482.0,39.9,153.0,No Failure
824,Low,296.6,307.4,1436.0,42.8,156.0,No Failure
825,Low,296.6,307.3,1474.0,40.0,158.0,No Failure
826,Low,296.5,307.2,1481.0,38.2,160.0,No Failure
827,Low,296.5,307.3,1501.0,42.1,162.0,No Failure
828,Low,296.5,307.3,1566.0,37.2,164.0,No Failure
829,Low,296.5,307.3,1579.0,34.5,166.0,No Failure
830,Low,296.6,307.4,1631.0,35.0,168.0,No Failure
831,Medium,296.6,307.4,1544.0,42.3,170.0,No Failure
832,Low,296.6,307.4,1521.0,38.6,173.0,No Failure
833,Low,296.6,307.4,1616.0,28.0,175.0,No Failure
834,High,296.6,307.4,1333.0,50.2,177.0,No Failure
835,Medium,296.7,307.4,1533.0,32.5,182.0,No Failure
836,Low,296.6,307.4,1368.0,45.1,185.0,No Failure
837,Low,296.6,307.4,1465.0,47.8,187.0,No Failure
838,High,296.6,307.4,1406.0,41.5,189.0,No Failure
839,Medium,296.5,307.4,1565.0,43.5,194.0,No Failure
840,Low,296.6,307.5,1582.0,37.9,197.0,No Failure
841,Low,296.6,307.5,1439.0,45.5,199.0,No Failure
842,Medium,296.6,307.5,1566.0,35.0,201.0,No Failure
843,Low,296.6,307.5,1485.0,42.7,204.0,No Failure
844,Low,296.5,307.5,1566.0,35.1,206.0,No Failure
845,Low,296.3,307.3,1439.0,41.5,208.0,No Failure
846,Medium,296.4,307.4,1416.0,50.0,210.0,No Failure
847,Low,296.4,307.4,1895.5,12.800000000000011,213.0,Power Failure
848,Low,296.3,307.4,1465.0,47.1,215.0,No Failure
849,High,296.4,307.4,1586.0,35.5,0.0,No Failure
850,Low,296.3,307.3,1567.0,31.4,5.0,No Failure
851,Medium,296.2,307.2,1389.0,48.6,7.0,No Failure
852,Medium,296.3,307.3,1368.0,49.5,10.0,No Failure
853,Low,296.3,307.3,1444.0,49.0,13.0,No Failure
854,Medium,296.3,307.3,1498.0,41.6,15.0,No Failure
855,Low,296.1,307.2,1615.0,30.8,18.0,No Failure
856,Low,296.1,307.1,1895.5,22.7,20.0,No Failure
857,Medium,296.1,307.1,1350.0,53.3,22.0,No Failure
858,Medium,296.2,307.0,1516.0,37.6,25.0,No Failure
859,High,296.2,307.0,1542.0,40.6,28.0,No Failure
860,High,296.1,306.9,1541.0,32.6,33.0,No Failure
861,Medium,296.1,306.9,1895.5,23.3,38.0,No Failure
862,High,296.1,306.8,1645.0,31.0,41.0,No Failure
863,Low,296.0,306.7,1416.0,44.2,46.0,No Failure
864,Medium,296.0,306.7,1895.5,22.3,48.0,No Failure
865,Low,295.9,306.6,1414.0,50.2,51.0,No Failure
866,Low,295.9,306.6,1678.0,26.7,53.0,No Failure
867,High,295.9,306.5,1594.0,33.2,55.0,No Failure
868,Medium,295.8,306.5,1514.0,37.7,60.0,No Failure
869,Low,295.8,306.5,1358.0,49.2,63.0,No Failure
870,Low,295.8,306.4,1325.0,56.2,65.0,No Failure
871,Low,295.8,306.4,1339.0,53.2,67.0,No Failure
872,Medium,295.8,306.4,1335.0,51.7,69.0,No Failure
873,Low,295.9,306.4,1892.0,21.7,72.0,No Failure
874,Low,295.9,306.4,1575.0,28.5,74.0,No Failure
875,Medium,295.8,306.3,1444.0,45.5,76.0,No Failure
876,Low,295.7,306.3,1895.5,22.4,79.0,No Failure
877,Medium,295.6,306.2,1584.0,33.6,81.0,No Failure
878,Medium,295.7,306.3,1685.0,34.9,84.0,No Failure
879,Low,295.8,306.3,1337.0,54.6,87.0,No Failure
880,Medium,295.8,306.3,1235.0,67.19999999999999,89.0,Power Failure
881,Low,295.7,306.2,1464.0,46.2,92.0,No Failure
882,Medium,295.7,306.2,1739.0,25.9,94.0,No Failure
883,Low,295.7,306.3,1490.0,34.3,97.0,No Failure
884,Low,295.8,306.4,1356.0,48.0,99.0,No Failure
885,Low,295.7,306.2,1397.0,52.0,101.0,No Failure
886,Low,295.7,306.2,1458.0,40.6,103.0,No Failure
887,High,295.7,306.2,1895.5,16.5,105.0,No Failure
888,Medium,295.6,306.1,1651.0,28.1,110.0,No Failure
